1	阿会喃	云南	男	190	225	74
2	伊籍	江陵	男	162	226	24
3	尹赏	天水	男	194	260	44
4	尹默	梓潼	男	183	239	15
5	于禁	陈留	男	159	221	78
6	卫瓘	晋阳	男	220	291	46
7	袁胤	汝南	男	163	199	14
8	袁熙	汝南	男	176	207	51
9	阎行	长安	男	159	222	84
10	阎柔	北平	男	168	227	57
11	袁术	宛	男	155	199	65
12	袁尚	汝南	男	179	207	75
13	袁绍	南皮	男	154	202	69
14	阎象	宛	男	158	199	27
15	袁谭	汝南	男	173	205	69
16	阎圃	汉中	男	163	231	25
17	王威	襄阳	男	163	208	70
18	王允	洛阳	男	137	192	6
19	王伉	成都	男	184	254	60
20	王粲	邺	男	177	217	3
21	王修	北海	男	168	218	27
22	王肃	下邳	男	195	256	22
23	王浚	洛阳	男	206	285	73
24	王双	天水	男	195	228	88
25	王昶	晋阳	男	188	259	64
26	王平	梓潼	男	192	248	79
27	王甫	江州	男	171	219	41
28	王门	北平	男	162	205	64
29	王凌	南皮	男	172	251	64
30	王累	成都	男	173	211	30
31	王朗	洛阳	男	162	228	35
32	温恢	寿春	男	178	222	36
33	何晏	许昌	男	190	249	30
34	蒯越	襄阳	男	157	214	27
35	蒯良	襄阳	男	155	204	33
36	贾华	庐江	男	176	224	65
37	贾逵	洛阳	男	177	231	61
38	何仪	许昌	男	161	195	69
39	华歆	邺	男	157	231	33
40	贾诩	洛阳	男	147	223	48
41	郭嘉	南皮	男	170	207	15
42	鄂焕	江州	男	196	251	82
43	郭汜	洛阳	男	146	197	76
44	乐就	宛	男	157	195	66
45	霍峻	武陵	男	178	217	66
46	郝昭	邺	男	185	229	79
47	乐进	陈留	男	159	218	84
48	郭图	许昌	男	155	205	50
49	郝萌	晋阳	男	156	197	67
50	郭攸之	宛	男	190	259	9
51	霍弋	江陵	男	207	270	69
52	郭淮	平原	男	187	255	78
53	夏侯威	陈留	男	204	253	73
54	夏侯渊	濮阳	男	162	219	91
55	夏侯恩	陈留	男	180	208	72
56	夏侯和	陈留	男	207	265	51
57	夏侯恵	陈留	男	206	242	44
58	夏侯玄	陈留	男	208	254	39
59	夏侯尚	新野	男	181	225	72
60	夏侯德	新野	男	178	218	73
61	夏侯惇	陈留	男	156	220	90
62	夏侯霸	陈留	男	202	262	84
63	夏侯楙	陈留	男	201	259	7
64	贾充	洛阳	男	217	282	31
65	何进	洛阳	男	135	189	40
66	华雄	洛阳	男	155	190	92
67	韩胤	宛	男	155	197	29
68	关羽	江夏	男	162	219	97
69	桓阶	邺	男	156	221	26
70	管亥	小沛	男	160	193	82
71	毌丘俭	邺	男	202	255	74
72	韩玄	洛阳	男	163	208	33
73	韩浩	许昌	男	164	218	72
74	关兴	江夏	男	199	234	86
75	关索	江夏	男	200	239	88
76	韩遂	长安	男	142	215	75
77	韩嵩	襄阳	男	154	210	15
78	关靖	北平	男	158	199	52
79	韩暹	南皮	男	159	196	66
80	阚泽	柴桑	男	182	243	49
81	韩忠	濮阳	男	151	184	67
82	韩当	柴桑	男	156	225	85
83	韩德	云南	男	171	228	76
84	甘宁	建业	男	174	222	94
85	韩馥	邺	男	149	193	3
86	关平	江夏	男	186	219	82
87	简雍	江陵	男	164	225	32
88	颜良	南皮	男	160	200	94
89	魏延	长沙	男	175	234	92
90	麴义	北平	男	146	191	78
91	戏志才	许昌	男	157	194	7
92	魏续	晋阳	男	156	200	78
93	魏攸	北平	男	151	193	29
94	牛金	襄阳	男	173	226	79
95	牛辅	天水	男	159	192	60
96	姜维	天水	男	202	264	89
97	巩志	武陵	男	178	242	53
98	桥蕤	洛阳	男	143	195	69
99	龚都	宛	男	164	200	70
100	许贡	吴	男	155	200	66
101	许靖	成都	男	152	222	5
102	许褚	北海	男	169	226	96
103	许攸	宛	男	155	204	21
104	纪灵	宛	男	155	199	83
105	金祎	许昌	男	177	218	38
106	金环三结	云南	男	192	225	76
107	金旋	长安	男	155	208	68
108	虞翻	会稽	男	164	233	46
109	邢道荣	零陵	男	174	208	80
110	严颜	江州	男	151	222	83
111	严纲	北平	男	163	192	71
112	严畯	会稽	男	169	246	2
113	严政	许昌	男	151	189	55
114	严白虎	吴	男	142	196	70
115	严兴	吴	男	145	196	78
116	吴懿	成都	男	165	237	73
117	黄盖	柴桑	男	154	218	83
118	高干	陈留	男	168	206	56
119	黄权	成都	男	167	240	59
120	高柔	邺	男	174	263	43
121	高顺	晋阳	男	162	198	86
122	高翔	梓潼	男	194	252	68
123	高升	许昌	男	145	184	73
124	侯成	晋阳	男	158	199	75
125	侯选	云南	男	175	228	66
126	黄祖	江夏	男	148	208	66
127	公孙越	北平	男	160	192	72
128	公孙渊	襄平	男	205	238	70
129	公孙恭	襄平	男	174	238	17
130	公孙康	襄平	男	172	210	66
131	公孙瓒	北平	男	152	199	83
132	公孙续	北平	男	176	199	68
133	公孙度	襄平	男	154	204	71
134	公孙范	北平	男	158	199	69
135	黄忠	长沙	男	148	222	93
136	高定	江州	男	190	251	63
137	高沛	梓潼	男	170	212	61
138	皇甫嵩	陈留	男	132	195	61
139	孔融	北海	男	153	208	5
140	高览	南皮	男	159	201	82
141	吴景	下邳	男	159	203	66
142	胡车儿	天水	男	164	206	82
143	胡轸	天水	男	146	190	74
144	兀突骨	云南	男	186	225	86
145	胡班	江夏	男	179	233	55
146	吴班	成都	男	171	234	71
147	顾雍	吴	男	168	243	18
148	吴兰	梓潼	男	170	218	80
149	蔡和	襄阳	男	166	208	50
150	蔡中	襄阳	男	168	208	54
151	蔡瑁	襄阳	男	160	208	70
152	笮融	下邳	男	161	195	69
153	司马懿	陈留	男	179	251	63
154	司马炎	洛阳	男	236	290	59
155	司马师	洛阳	男	208	255	64
156	司马昭	洛阳	男	211	265	57
157	司马孚	陈留	男	180	272	37
158	司马朗	陈留	男	171	217	21
159	沙摩柯	武陵	男	167	222	84
160	周昕	会稽	男	159	196	62
161	周昂	会稽	男	162	195	65
162	周旨	襄阳	男	233	295	85
163	周仓	江夏	男	164	219	84
164	周泰	庐江	男	171	225	91
165	周鲂	庐江	男	200	240	41
166	周瑜	庐江	男	175	210	71
167	朱桓	建业	男	177	238	82
168	朱据	建业	男	190	246	57
169	祝融	云南	女	193	246	85
170	朱儁	洛阳	男	149	195	65
171	朱然	庐江	男	182	249	69
172	朱治	吴	男	156	224	56
173	朱褒	江州	男	191	225	73
174	朱灵	汝南	男	170	236	73
175	荀彧	南皮	男	163	212	14
176	淳于琼	洛阳	男	146	200	66
177	荀谌	许昌	男	164	208	25
178	荀攸	洛阳	男	157	214	26
179	蒋琬	零陵	男	188	246	34
180	钟会	许昌	男	225	264	51
181	蒋干	汝南	男	175	239	6
182	蒋义渠	蓟	男	159	205	58
183	蒋钦	庐江	男	168	219	84
184	蒋济	寿春	男	188	249	43
185	谯周	成都	男	201	270	3
186	焦触		男	159	208	76
187	向宠	襄阳	男	195	240	61
188	钟繇	洛阳	男	151	230	24
189	向朗	武陵	男	167	247	18
190	徐荣	长安	男	147	190	76
191	诸葛恪	吴	男	203	253	47
192	诸葛瑾	建业	男	174	241	34
193	诸葛均	桂阳	男	185	252	25
194	诸葛诞	下邳	男	206	258	72
195	诸葛亮	江陵	男	181	234	38
196	徐晃	晋阳	男	165	228	90
197	徐庶	邺	男	178	232	64
198	徐盛	庐江	男	177	234	81
199	徐邈	蓟	男	171	249	32
200	申仪	上庸	男	190	252	59
201	申耽	上庸	男	188	254	62
202	审配	邺	男	156	204	60
203	辛毗	邺	男	171	240	24
204	辛评	许昌	男	165	204	43
205	秦宓	成都	男	160	226	7
206	秦朗	晋阳	男	192	234	70
207	眭固	濮阳	男	151	199	71
208	邹丹	北平	男	148	195	64
209	成宜	长安	男	168	211	72
210	成公英	长安	男	172	220	71
211	薛综	会稽	男	187	243	16
212	单经	北平	男	156	199	68
213	全琮	建业	男	183	249	72
214	曹叡	邺	男	205	239	52
215	曹休	濮阳	男	174	228	75
216	宋宪	晋阳	男	157	200	77
217	曹昂	陈留	男	175	197	67
218	曹洪	濮阳	男	169	232	81
219	曹纯	濮阳	男	170	210	71
220	曹彰	北平	男	190	223	90
221	曹植	下邳	男	192	232	22
222	曹真	下邳	男	185	231	74
223	曹仁	濮阳	男	168	223	86
224	曹性	晋阳	男	163	198	74
225	曹操	陈留	男	155	220	72
226	曹冲	陈留	男	196	208	21
227	臧霸	寿春	男	165	231	75
228	曹丕	邺	男	187	226	71
229	曹豹	下邳	男	151	196	69
230	沮授	邺	男	156	201	35
231	苏飞	柴桑	男	172	221	63
232	祖茂	下邳	男	155	190	71
233	孙桓	建业	男	197	228	73
234	孙坚	长沙	男	156	192	90
235	孙乾	江陵	男	165	215	33
236	孙权	建业	男	182	252	67
237	孙皎	柴桑	男	181	219	72
238	孙策	吴	男	175	200	92
239	孙韶	建业	男	188	241	79
240	孙静	下邳	男	160	206	53
241	孙仲	濮阳	男	154	184	71
242	孙登	建业	男	209	241	37
243	孙瑜	柴桑	男	177	215	70
244	孙翊	吴	男	184	204	78
